MAKE,COUNT,MAKE_DESC
ACUR,2904,ACURA
ACURA,12985,ACURA
ALFA,85,ALFA
ASTO,162,ASTON
AUDI,20090,AUDI
BENT,476,BENTHLEY
BENZ,59,MERCEDEZ
BMW,47822,BMW
BUGA,36,BUGATTI
BUIC,5125,BUICK
BUICK,632,BUICK
CADI,8450,CADILAC
CADI,1760,CADILAC
CADILAC,163,CADILAC
CHEV,70959,CHEVROLET
CHEV,11789,CHEVROLET
CHEVE,59,CHEVROLET
CHEVERLOT,39,CHEVROLET
CHEVEROLET,185,CHEVROLET
CHEVEY,57,CHEVROLET
CHEVORLET,227,CHEVROLET
CHEVROLET,9275,CHEVROLET
CHRY,15256,CHRYSLER
CHRYS,225,CHRYSLER
CHRYSLER,2477,CHRYSLER
CHRYSTLER,175,CHRYSLER
CHYSLER,47,CHRYSLER
CRYSLER,67,CHRYSLER
DAEW,207,DAEWOOD
DODG,30962,DODGE
DODGE,2602,DODGE
FERR,164,FERRARI
FIAT,4113,FIAT
FORD,93765,FORD
GMC,16132,GMC
HOND,115926,HONDA
HONDA,13076,HONDA
HUMM,498,HUMMER
HUMMER,60,HUMMER
HUNDAI,56,HYUNDAI
HYNDAI,48,HYUNDAI
HYUN,31202,HYUNDAI
HYUN,4324,HYUNDAI
HYUND,159,HYUNDAI
HYUNDA,60,HYUNDAI
HYUNDI,78,HYUNDAI
HYUNDIA,115,HYUNDAI
INF,54,INFINITI
INFI,12987,INFINITI
INFI,1520,INFINITI
INFIN,97,INFINITI
INFINITY,579,INFINITI
INFINTI,56,INFINITI
ISU,2302,ISUZU
ISU,198,ISUZU
ISUZ,132,ISUZU
ISUZ,208,ISUZU
ISUZU,778,ISUZU
IZUZU,77,ISUZU
JAG,59,JAGUAR
JAGR,201,JAGUAR
JAGU,2964,JAGUAR
JAGUAR,219,JAGUAR
JEEP,23120,JEEP
KAWA,24,KAWSAKI
KAWASAKI,156,KAWSAKI
KAWK,320,KAWSAKI
KAWK,71,KAWSAKI
KIA,22624,KIA
LAND,40,LAND ROVER
LAND ROVER,482,LAND ROVER
LANDROVER,2939,LANDROVER
LEX,122,LEXUS
LEXS,29658,LEXUS
LEXU,1886,LEXUS
LEXU,1294,LEXUS
LEXUS,951,LEXUS
LINC,4879,LINCOLN
LINCOLN,782,LINCOLN
LNDR,207,LANDROVER
LROV,127,LANDROVER
MADZA,65,MAZDA
MASE,1106,MASERATI
MAZ,40,MAZDA
MAZADA,67,MAZDA
MAZD,18702,MAZDA
MAZDA,1690,MAZDA
MBNZ,1071,MERCEDEZ
MERC,3476,MERCURY
MERCEDES,3573,MERCEDES
MERCEDES,41506,MERCEDES
MERCEDES BENZ,326,MERCEDES
MERCEDES-BENZ,78,MERCEDES
MERCEDEZ,316,MERCEDEZ
MERCEDEZ BENZ,42,MERCEDES
MERZ,5573,MERCEDES
MERZ BENZ,51,MERCEDES
MINI,331,MINI 
MINI,801,
MITS,9694,MITSUBISHI
MITSU,100,MITSUBISHI
MITSUBISHI,2503,MITSUBISHI
MITZ,162,MITSUBISHI
MNNI,7363,MINI 
NISAN,49,NISSAN
NISS,72223,NISSAN
NISSA,43,NISSAN
NISSAN,7912,NISSAN
NISSIAN,320,NISSAN
OLDS,1565,OLDSMOBILE
OLDSMOBILE,422,OLDSMOBILE
PLYM,988,PLYMOUTH
PLYMOUTH,202,PLYMOUTH
PONT,5018,PONTIAC
PONTIAC,1047,PONTIAC
PORS,5313,PORSCHE
PORSCHE,192,PORSCHE
RANG,42,RANGE ROVER
RANGE ROVER,57,RANGE ROVER
ROL,212,ROLL ROYCE
RROV,4776,RANGE ROVER
SAA,1515,SAAB
SAA,68,SAAB
SAAB,124,SAAB
SATR,59,SATURN
SATU,331,SATURN
SATURN,360,SATURN
SATURN,194,SATURN
SCIO,253,SCION
SCION,1500,SCION
STRN,4923,SATURN
SUB,104,SUBARU
SUBA,10175,SUBARU
SUBARU,1500,SUBARU
SUBU,61,SUBARU
SUBURU,106,SUBARU
SUZI,1616,SUZIKI
SUZIKI,193,SUZIKI
SUZU,125,SUZIKI
SUZU,199,SUZIKI
TESL,55,TESLA
TOTY,58,TOYOTA
TOY,252,TOYOTA
TOYO,11548,TOYOTA
TOYO,818,TOYOTA
TOYOT,315,TOYOTA
TOYOYA,47,TOYOTA
TOYT,171372,TOYOTA
TOYT,19648,TOYOTA
TOYTA,268,TOYOTA
TOYTOA,74,TOYOTA
VOLK,37290,VOLKSWAGEN
VOLK,3169,VOLKSWAGEN
VOLKS,1353,VOLKSWAGEN
VOLKSWAGEN,1670,VOLKSWAGEN
VOLKSWAGON,1824,VOLKSWAGEN
VOLKWAGON,36,VOLKSWAGEN
VOLV,10824,VOLVO
VOLV,973,VOLKSWAGEN
VW,37,VOLKSWAGEN
WINN,130,MINN
YAMA,435,YAMAHA
YAMAHA,435,YAMAHA
